Value,Type,Category
2514900.0,True MC Data,Data
2494800.0,True MC Data,Data
2595000.0,True MC Data,Data
2540400.0,True MC Data,Data
2586800.0,True MC Data,Data
2653100.0,True MC Data,Data
2509600.0,True MC Data,Data
2433200.0,True MC Data,Data
2426900.0,True MC Data,Data
2189400.0,True MC Data,Data
2271200.0,True MC Data,Data
2299800.0,True MC Data,Data
2304900.0,True MC Data,Data
2521000.0,True MC Data,Data
2505100.0,True MC Data,Data
2507400.0,True MC Data,Data
2407700.0,True MC Data,Data
2470100.0,True MC Data,Data
2367500.0,True MC Data,Data
2593300.0,True MC Data,Data
2562400.0,True MC Data,Data
2427400.0,True MC Data,Data
2494900.0,True MC Data,Data
2485000.0,True MC Data,Data
2213900.0,True MC Data,Data
2336100.0,True MC Data,Data
2381200.0,True MC Data,Data
2438900.0,True MC Data,Data
2482400.0,True MC Data,Data
2423100.0,True MC Data,Data
2268500.0,True MC Data,Data
2620400.0,True MC Data,Data
2593100.0,True MC Data,Data
2572200.0,True MC Data,Data
2467500.0,True MC Data,Data
2494900.0,True MC Data,Data
2503800.0,True MC Data,Data
2543000.0,True MC Data,Data
2490200.0,True MC Data,Data
2247400.0,True MC Data,Data
2390100.0,True MC Data,Data
2310900.0,True MC Data,Data
2244100.0,True MC Data,Data
2325600.0,True MC Data,Data
2455300.0,True MC Data,Data
2411000.0,True MC Data,Data
2440900.0,True MC Data,Data
2451600.0,True MC Data,Data
2402000.0,True MC Data,Data
2328800.0,True MC Data,Data
2706600.0,True MC Data,Data
2324500.0,True MC Data,Data
2407800.0,True MC Data,Data
2326000.0,True MC Data,Data
2566200.0,True MC Data,Data
2454000.0,True MC Data,Data
2210200.0,True MC Data,Data
2293700.0,True MC Data,Data
2373900.0,True MC Data,Data
2495000.0,True MC Data,Data
2299000.0,True MC Data,Data
2523500.0,True MC Data,Data
2606400.0,True MC Data,Data
2502000.0,True MC Data,Data
2235000.0,True MC Data,Data
2592800.0,True MC Data,Data
2437800.0,True MC Data,Data
2302700.0,True MC Data,Data
2601700.0,True MC Data,Data
2389100.0,True MC Data,Data
2393100.0,True MC Data,Data
2530700.0,True MC Data,Data
2414400.0,True MC Data,Data
2453200.0,True MC Data,Data
2462400.0,True MC Data,Data
2354700.0,True MC Data,Data
2535700.0,True MC Data,Data
2489100.0,True MC Data,Data
2259600.0,True MC Data,Data
2479400.0,True MC Data,Data
2462700.0,True MC Data,Data
2638800.0,True MC Data,Data
2578300.0,True MC Data,Data
2468300.0,True MC Data,Data
2323000.0,True MC Data,Data
2434300.0,True MC Data,Data
2401000.0,True MC Data,Data
2452900.0,True MC Data,Data
2273000.0,True MC Data,Data
2447200.0,True MC Data,Data
2551400.0,True MC Data,Data
2438500.0,True MC Data,Data
2372400.0,True MC Data,Data
2377800.0,True MC Data,Data
2467400.0,True MC Data,Data
2484900.0,True MC Data,Data
2502000.0,True MC Data,Data
2428400.0,True MC Data,Data
2350600.0,True MC Data,Data
2404400.0,True MC Data,Data
2225600.0,True MC Data,Data
2477500.0,True MC Data,Data
2389500.0,True MC Data,Data
2448600.0,True MC Data,Data
2553800.0,True MC Data,Data
2417800.0,True MC Data,Data
2305200.0,True MC Data,Data
2561200.0,True MC Data,Data
2622800.0,True MC Data,Data
2260300.0,True MC Data,Data
2471800.0,True MC Data,Data
2456500.0,True MC Data,Data
2300200.0,True MC Data,Data
2535700.0,True MC Data,Data
2295800.0,True MC Data,Data
2210600.0,True MC Data,Data
2594000.0,True MC Data,Data
2429300.0,True MC Data,Data
2329800.0,True MC Data,Data
2426800.0,True MC Data,Data
2615600.0,True MC Data,Data
2306700.0,True MC Data,Data
2557400.0,True MC Data,Data
2410000.0,True MC Data,Data
2411800.0,True MC Data,Data
2349800.0,True MC Data,Data
2621800.0,True MC Data,Data
2457600.0,True MC Data,Data
2306600.0,True MC Data,Data
2422200.0,True MC Data,Data
2343000.0,True MC Data,Data
2454100.0,True MC Data,Data
2441600.0,True MC Data,Data
2271600.0,True MC Data,Data
2566300.0,True MC Data,Data
2397500.0,True MC Data,Data
2383500.0,True MC Data,Data
2541800.0,True MC Data,Data
2408000.0,True MC Data,Data
2301100.0,True MC Data,Data
2460700.0,True MC Data,Data
2297800.0,True MC Data,Data
2477500.0,True MC Data,Data
2453800.0,True MC Data,Data
2513400.0,True MC Data,Data
2402400.0,True MC Data,Data
2452400.0,True MC Data,Data
2560300.0,True MC Data,Data
2482900.0,True MC Data,Data
2133000.0,True MC Data,Data
